FILENAME	Isolate	PubMLSTID	Accn1	Country	Continent	Region	Year	Source	DetailedSource	Serogroup	cgST(cgMLST)	Threshold7(outbreak)	Threshold133(sublineage)	Biotype	Completeness(%)	"ST(Kirchbergeretal.,2016)"	ST(Octaviaetal2013)
GCF_002076775.1_ASM207677v1.fasta	Vc_21B	1389	GCA_002076775.1	Tanzania	Africa	Kigoma	2015	human	clinical	O1	121	46	6	El Tor	99.91813344	1	515
GCF_002807865.1_ASM280786v1.fasta	Vc_220075-6	2470	GCA_002807865.1	Bangladesh	Asia	Dhaka	2014	human	clinical		872	5	6	El Tor	99.83626688	1	69
GCF_002807825.1_ASM280782v1.fasta	Vc_220076-6	2468	GCA_002807825.1	Bangladesh	Asia	Dhaka	2014	human	clinical		920	5	6	El Tor	99.91813344	1	69
GCF_002808465.1_ASM280846v1.fasta	Vc_22043200_C1	2497	GCA_002808465.1	Bangladesh	Asia	Dhaka	2013	human	clinical		599	5	6	El Tor	99.95906672	1	69
GCF_002808165.1_ASM280816v1.fasta	Vc_22043202_C1	2484	GCA_002808165.1	Bangladesh	Asia	Dhaka	2013	human	clinical		599	5	6	El Tor	99.95906672	1	69
GCF_002808435.1_ASM280843v1.fasta	Vc_22043204_C1	2098	GCA_002808435.1	Bangladesh	Asia	Dhaka	2013	human	clinical		599	5	6	El Tor	99.95906672	1	69
GCF_002808215.1_ASM280821v1.fasta	Vc_22043300_C6	2486	GCA_002808215.1	Bangladesh	Asia	Dhaka	2013	human	clinical		599	5	6	El Tor	99.95906672	1	69
GCF_002808275.1_ASM280827v1.fasta	Vc_22044108_C3	2489	GCA_002808275.1	Bangladesh	Asia	Dhaka	2013	human	clinical		724	5	6	El Tor	99.95906672	1	69
GCF_002808145.1_ASM280814v1.fasta	Vc_22087102_C2	2482	GCA_002808145.1	Bangladesh	Asia	Dhaka	2013	human	clinical		831	5	6	El Tor	99.95906672	1	69
GCF_002808345.1_ASM280834v1.fasta	Vc_22087500_C9	2492	GCA_002808345.1	Bangladesh	Asia	Dhaka	2013	human	clinical		600	5	6	El Tor	99.95906672	1	69
GCF_002196175.1_ASM219617v1.fasta	Vc_28	1390	GCA_002196175.1	Ukraine	Europe	Krivory Rog	2016	human	clinical	O1	330	328	6	El Tor	97.95333606	1	69
GCF_002076705.1_ASM207670v1.fasta	Vc_2Mo	1380	GCA_002076705.1	Tanzania	Africa	Morogoro	2015	human	clinical	O1	127;983	3	6	El Tor	100	1	69
GCF_001281585.1_ASM128158v1.fasta	Vc_31	1391	GCA_001281585.1	Ukraine	Europe	Mariupol	2011			O1	74	3	6	El Tor	95.16987311	1	69
GCF_002076535.1_ASM207653v1.fasta	Vc_31Ki	1392	GCA_002076535.1	Tanzania	Africa	Kigoma	2015	human	clinical	O1	121	46	6	El Tor	99.91813344	1	515
GCF_002808265.1_ASM280826v1.fasta	Vc_330033_C1	2488	GCA_002808265.1	Bangladesh	Asia	Dhaka	2013	human	clinical		600	5	6	El Tor	99.95906672	1	69
GCF_002807765.1_ASM280776v1.fasta	Vc_330073_A	2465	GCA_002807765.1	Bangladesh	Asia	Dhaka	2013	human	clinical		649	5	6	El Tor	99.87720016	1	69
GCF_002807965.1_ASM280796v1.fasta	Vc_330073_B	2475	GCA_002807965.1	Bangladesh	Asia	Dhaka	2013	human	clinical		784	5	6	El Tor	99.91813344	1	69
GCF_002808105.1_ASM280810v1.fasta	Vc_330081	2480	GCA_002808105.1	Bangladesh	Asia	Dhaka	2014	human	clinical		630	5	6	El Tor	99.91813344	1	69
GCF_002807895.1_ASM280789v1.fasta	Vc_330110	2472	GCA_002807895.1	Bangladesh	Asia	Dhaka	2014	human	clinical		821	5	6	El Tor	99.91813344	1	69
GCF_002807785.1_ASM280778v1.fasta	Vc_330113	2466	GCA_002807785.1	Bangladesh	Asia	Dhaka	2014	human	clinical		916	5	6	El Tor	99.87720016	1	69
GCF_002808065.1_ASM280806v1.fasta	Vc_330440_C1	2478	GCA_002808065.1	Bangladesh	Asia	Dhaka	2013	human	clinical		599	5	6	El Tor	99.95906672	1	69
GCF_002807705.1_ASM280770v1.fasta	Vc_330590	2462	GCA_002807705.1	Bangladesh	Asia	Dhaka	2014	human	clinical		954	5	6	El Tor	99.95906672	1	69
GCF_002808225.1_ASM280822v1.fasta	Vc_330898_C2	2487	GCA_002808225.1	Bangladesh	Asia	Dhaka	2013	human	clinical		600	5	6	El Tor	99.95906672	1	69
GCF_002807945.1_ASM280794v1.fasta	Vc_330920_A	2474	GCA_002807945.1	Bangladesh	Asia	Dhaka	2013	human	clinical		801	5	6	El Tor	99.87720016	1	69
GCF_002807875.1_ASM280787v1.fasta	Vc_330920_B	2471	GCA_002807875.1	Bangladesh	Asia	Dhaka	2013	human	clinical		829	5	6	El Tor	99.91813344	1	69
GCF_002808415.1_ASM280841v1.fasta	Vc_331721_C1	2496	GCA_002808415.1	Bangladesh	Asia	Dhaka	2013	human	clinical		600	5	6	El Tor	99.95906672	1	69
GCF_000237685.1_ASM23768v2.fasta	Vc_3500-05	1484	GCA_000237685.2	USA	North America		2005	human	clinical	O1	377	19	6	El Tor	99.91813344	1	69
GCF_000237705.1_ASM23770v2.fasta	Vc_3546-06	1488	GCA_000237705.2	USA	North America		2006	human	clinical	O1	463	19	6	El Tor	99.67253377	1	69
GCF_000237725.1_ASM23772v2.fasta	Vc_3554-08	1489	GCA_000237725.2	Nepal	Asia		2008	human	clinical	O1	301	19	6	El Tor	99.83626688	1	69
GCF_000237765.1_ASM23776v2.fasta	Vc_3582-05	1494	GCA_000237765.2	USA	North America		2005	human	clinical	O1	401	19	6	El Tor	99.59066721	1	69
GCF_002078055.1_ASM207805v1.fasta	Vc_36KI	1393	GCA_002078055.1	Tanzania	Africa	Kigoma	2015	human	clinical	O1	133	200	6	El Tor	99.83626688	1	515
GCF_001281595.1_ASM128159v1.fasta	Vc_39	1394	GCA_001281595.1	Ukraine	Europe	Mariupol	2011	human	clinical	O1	577	3	6	El Tor	96.1522718	1	69
GCF_002078635.1_ASM207863v1.fasta	Vc_39361	1531	GCA_002078635.1	Tanzania	Africa	Dar Es Salaam	2015	human	clinical	O1	127;983	3	6	El Tor	100	1	69
GCF_002076475.1_ASM207647v1.fasta	Vc_39Ki	1395	GCA_002076475.1	Tanzania	Africa	Kigoma	2015	human	clinical	O1	121	46	6	El Tor	99.91813344	1	515
GCF_001257035.1_3002_8_1.fasta	Vc_4110	1495	GCA_001257035.1	Vietnam	Asia		1995	human	clinical	O1	424	165	6	El Tor	99.30413426	1	69
GCF_001259055.1_5174_5_9.fasta	Vc_4113	1497	GCA_001259055.1	Vietnam	Asia		2003	human	clinical	O1	524	225	6	El Tor	100	1	69
GCF_001252075.1_5174_5_7.fasta	Vc_4121	1498	GCA_001252075.1	Vietnam	Asia		2004	human	clinical	O1	255	217	6	El Tor	99.95906672	1	69
GCF_000330905.1_VC4260B.fasta	Vc_4260B	1499	GCA_000330905.1	Bangladesh	Asia		1993	human	clinical	O139	565	223	6	El Tor	99.95906672	1	69
GCF_900324445.1_48853_G01.fasta	Vc_4295STDY6534216	2525	GCA_900324445.1	Unknown		Missing				O139	644	16	6	El Tor	99.95906672	1	69
GCF_900324425.1_48853_H01.fasta	Vc_4295STDY6534232	2524	GCA_900324425.1	Unknown		Missing				O139	644	16	6	El Tor	99.95906672	1	69
GCF_001281615.1_ASM128161v1.fasta	Vc_43	1396	GCA_001281615.1	Ukraine	Europe	Mariupol	1994			O1	537	310	6	El Tor	92.50920999	1	69
GCF_001260335.1_5174_5_6.fasta	Vc_4339	1500	GCA_001260335.1	India	Asia		2004	human	clinical	O1	476	177	6	El Tor	99.63160049	1	69
GCF_002078595.1_ASM207859v1.fasta	Vc_43Ki	1397	GCA_002078595.1	Tanzania	Africa	Kigoma	2015	human	clinical	O1	121	46	6	El Tor	99.91813344	1	515
GCF_001258555.1_5174_6_3.fasta	Vc_4488	1501	GCA_001258555.1	India	Asia		2006	human	clinical	O1	574	197	6	El Tor	99.83626688	1	69
GCF_001248505.1_5174_6_8.fasta	Vc_4519	1502	GCA_001248505.1	India	Asia		2005	human	clinical	O1	24	205	6	El Tor	99.87720016	1	69
GCF_001255835.1_5174_6_9.fasta	Vc_4536	1503	GCA_001255835.1	India	Asia		2007	human	clinical	O1	257	219	6	El Tor	99.95906672	1	69
GCF_001259715.1_5174_5_5.fasta	Vc_4538	1504	GCA_001259715.1	India	Asia		2007	human	clinical	O1	265	216	6	El Tor	99.95906672	1	69
GCF_001252055.1_5174_5_2.fasta	Vc_4551	1505	GCA_001252055.1	India	Asia		2007	human	clinical	O1	525	209	6	El Tor	99.91813344	1	69
GCF_001259235.1_5174_6_2.fasta	Vc_4552	1506	GCA_001259235.1	India	Asia		2007	human	clinical	O1	101	189	6	El Tor	99.79533361	1	69
GCF_001252895.1_5174_6_1.fasta	Vc_4585	1507	GCA_001252895.1	India	Asia		2007	human	clinical	O1	7	212	6	El Tor	99.91813344	1	69
GCF_001257895.1_5174_5_4.fasta	Vc_4593	1508	GCA_001257895.1	India	Asia		2007	human	clinical	O1	446	204	6	El Tor	99.87720016	1	69
GCF_001253055.1_5174_6_5.fasta	Vc_4600	1509	GCA_001253055.1	India	Asia		2007	human	clinical	O1	522	214	6	El Tor	99.95906672	1	69
GCF_001259135.1_2956_6_1.fasta	Vc_4605	1510	GCA_001259135.1	India	Asia		2007	human	clinical	O1	146	318	6	El Tor	98.97666803	1	69
GCF_001254635.1_5174_5_3.fasta	Vc_4623	1511	GCA_001254635.1	India	Asia		2007	human	clinical	O1	333	210	6	El Tor	99.91813344	1	69
GCF_001258995.1_5174_6_6.fasta	Vc_4646	1512	GCA_001258995.1	India	Asia		2007	human	clinical	O1	408	211	6	El Tor	99.91813344	1	69
GCF_001258495.1_2956_6_2.fasta	Vc_4656	1513	GCA_001258495.1	India	Asia		2006	human	clinical	O1	81	159	6	El Tor	98.85386819	1	69
GCF_001260175.1_5174_6_7.fasta	Vc_4662	1514	GCA_001260175.1	Bangladesh	Asia		2001	human	clinical	O1	502	40	6	El Tor	99.75440033	1	69
GCF_001256015.1_2956_6_5.fasta	Vc_4663	1515	GCA_001256015.1	Bangladesh	Asia		2001	human	clinical	O1	87	268	6	El Tor	99.46786738	1	69
GCF_002076645.1_ASM207664v1.fasta	Vc_47610	1532	GCA_002076645.1	Tanzania	Africa	Dar Es Salaam	2015	human	clinical	O1	127;983	3	6	El Tor	100	1	69
GCF_002076485.1_ASM207648v1.fasta	Vc_47623	1533	GCA_002076485.1	Tanzania	Africa	Dar Es Salaam	2015	human	clinical	O1	69	3	6	El Tor	100	1	69
GCF_001254335.1_5174_6_4.fasta	Vc_4784	1516	GCA_001254335.1	Tanzania	Africa		2009	human	clinical	O1	300	218	6	El Tor	99.95906672	1	69
GCF_002076315.1_ASM207631v1.fasta	Vc_48055	1534	GCA_002076315.1	Tanzania	Africa	Dar Es Salaam	2015	human	clinical	O1	127;983	3	6	El Tor	100	1	69
GCF_001281665.1_ASM128166v1.fasta	Vc_56	1398	GCA_001281665.1	Ukraine	Europe		1995	human	clinical	O1	117	150	6	El Tor	96.02947196	1	69
GCF_002076665.1_ASM207666v1.fasta	Vc_5Mo	1383	GCA_002076665.1	Tanzania	Africa	Morogoro	2015	human	clinical	O1	127;983	3	6	El Tor	100	1	69
GCF_001257835.1_4370_2_8.fasta	Vc_6193	1517	GCA_001257835.1	Kenya	Africa		2005	human	clinical	O1	53	186	6	El Tor	99.75440033	1	69
GCF_001261555.1_4370_2_3.fasta	Vc_6201	1519	GCA_001261555.1	Kenya	Africa		2007	human	clinical	O1	56	20	6	El Tor	99.59066721	1	69
GCF_001259475.1_4370_2_2.fasta	Vc_6210	1520	GCA_001259475.1	Kenya	Africa		2007	human	clinical	O1	278	179	6	El Tor	99.67253377	1	69
GCF_001252775.1_4370_2_9.fasta	Vc_6215	1521	GCA_001252775.1	Kenya	Africa		2005	human	clinical	O1	547	176	6	El Tor	99.63160049	1	69
GCF_000736845.1_GFC_18.fasta	Vc_63-93_(MO45)	1399	GCA_000736845.1	India	Asia	Bengal	1992	human	clinical	O139	911	14	6	El Tor	99.18133442	1	69
GCF_001255915.1_4370_3_8.fasta	Vc_7685	1522	GCA_001255915.1	Kenya	Africa		2009	human	clinical	O1	132	327	6	El Tor	97.8714695	1	69
GCF_001251435.1_4370_3_6.fasta	Vc_7687	1523	GCA_001251435.1	Kenya	Africa		2009	human	clinical	O1	253	196	6	El Tor	99.83626688	1	69
GCF_002076415.1_ASM207641v1.fasta	Vc_7714	1524	GCA_002076415.1	Tanzania	Africa	Dar Es Salaam	2015	human	clinical	O1	69	3	6	El Tor	100	1	69
GCF_002076615.1_ASM207661v1.fasta	Vc_7Mo	1384	GCA_002076615.1	Tanzania	Africa	Morogoro	2015	human	clinical	O1	334	3	6	El Tor	99.95906672	1	69
GCF_002196135.1_ASM219613v1.fasta	Vc_89	1401	GCA_002196135.1	Ukraine	Europe	Yalta	2016	environmental		O1	119	71	6	El Tor	99.18133442	1	69
GCF_002076695.1_ASM207669v1.fasta	Vc_8Mo	1386	GCA_002076695.1	Tanzania	Africa	Morogoro	2015	human	clinical	O1	127;983	3	6	El Tor	100	1	69
GCF_002076635.1_ASM207663v1.fasta	Vc_9Mo	1387	GCA_002076635.1	Tanzania	Africa	Morogoro	2015	human	clinical	O1	335	3	6	El Tor	100	1	69
GCF_001254655.1_5174_7_6.fasta	Vc_A10	1541	GCA_001254655.1	Bangladesh	Asia		1979	human	clinical	O1	263	221	6	El Tor	99.95906672	1	69
GCF_001252495.1_5174_7_7.fasta	Vc_A18	1542	GCA_001252495.1	India	Asia		1977	human	clinical	O1	513	15	6	El Tor	100	1	69
GCF_001250235.2_5174_7_8_v2.fasta	Vc_A19	1543	GCA_001250235.2	Bangladesh	Asia		1971	human	clinical	O1	52	17	6	El Tor	100	290	69
GCF_001255155.1_5174_7_9.fasta	Vc_A22	1544	GCA_001255155.1	Bangladesh	Asia		1979	human	clinical	O1	328	182	6	El Tor	99.71346705	1	69
GCF_001260995.1_5174_7_10.fasta	Vc_A27	1545	GCA_001260995.1	Peru	South America		1991	human	clinical	O1	469	192	6	El Tor	99.79533361	1	69
GCF_001253235.1_5174_8_1.fasta	Vc_A29	1546	GCA_001253235.1	Peru	South America		1991	human	clinical	O1	319	198	6	El Tor	99.83626688	1	69
GCF_001253695.1_5174_8_2.fasta	Vc_A31	1547	GCA_001253695.1	Peru	South America		1991	human	clinical	O1	572	199	6	El Tor	99.83626688	1	69
GCF_001250455.1_5174_8_3.fasta	Vc_A32	1548	GCA_001250455.1	Peru	South America		1991	human	clinical	O1	432	191	6	El Tor	99.79533361	1	69
GCF_001247525.1_5174_8_5.fasta	Vc_A346(1)	1550	GCA_001247525.1	Bangladesh	Asia		1994	human	clinical	O1	868	220	6	El Tor	99.95906672	1	69
GCF_001254055.1_5174_7_3.fasta	Vc_A4	1538	GCA_001254055.1	Unknown			1973	human	clinical	O1	193	296	140	El Tor	99.67253377	273	NA
GCF_001261535.1_5174_8_8.fasta	Vc_A487(1)	1551	GCA_001261535.1	Bangladesh	Asia		2007	human	clinical	O1	751	40	6	El Tor	99.95906672	1	69
GCF_001257075.1_5174_8_6.fasta	Vc_A488(1)	1552	GCA_001257075.1	Bangladesh	Asia		2006	human	clinical	O1	910	224	6	El Tor	100	1	69
GCF_001254675.1_5174_7_4.fasta	Vc_A5	1539	GCA_001254675.1	Angola	Africa		1989	human	clinical	O1	152	206	6	El Tor	99.87720016	1	69
GCF_001255575.1_5174_7_5.fasta	Vc_A6	1540	GCA_001255575.1	Indonesia	Asia		1957	human	clinical	O1	379	18	6	El Tor	100	1	69
