FILE	9t	133t	1189t
GCF_000305115.2_ASM30511v2.fasta	1	1	1
GCF_000305195.2_ASM30519v2.fasta	1	1	1
GCF_000305525.2_ASM30552v2.fasta	1	1	1
GCF_000305545.2_ASM30554v2.fasta	1	1	1
GCF_000305625.2_ASM30562v2.fasta	1	1	1
GCF_000305675.2_ASM30567v2.fasta	1	1	1
GCF_000305695.2_ASM30569v2.fasta	1	1	1
GCF_000318075.1_Vibrio_cholerae_PS15.fasta	1	1	1
GCF_000318485.2_ASM31848v2.fasta	1	1	1
GCF_000318505.2_ASM31850v2.fasta	1	1	1
GCF_000327105.3_ASM32710v3.fasta	1	1	1
GCF_000327125.3_ASM32712v3.fasta	1	1	1
GCF_000327145.3_ASM32714v3.fasta	1	1	1
GCF_000327165.3_ASM32716v3.fasta	1	1	1
GCF_000327185.3_ASM32718v3.fasta	1	1	1
GCF_000327205.3_ASM32720v3.fasta	1	1	1
GCF_000327225.3_ASM32722v3.fasta	1	1	1
GCF_000327245.3_ASM32724v3.fasta	1	1	1
GCF_000330905.1_VC4260B.fasta	1	1	1
GCF_000338215.2_vcp18785v1.fasta	1	1	1
GCF_000348045.2_ASM34804v2.fasta	1	1	1
GCF_000348105.2_ASM34810v2.fasta	1	1	1
GCF_000348125.2_ASM34812v2.fasta	1	1	1
GCF_000348145.2_ASM34814v2.fasta	1	1	1
GCF_000348165.2_ASM34816v2.fasta	1	1	1
GCF_000348185.2_ASM34818v2.fasta	1	1	1
GCF_000348205.2_ASM34820v2.fasta	1	1	1
GCF_000348225.2_ASM34822v2.fasta	1	1	1
GCF_000348245.2_ASM34824v2.fasta	1	1	1
GCF_000348265.2_ASM34826v2.fasta	1	1	1
GCF_000348285.2_ASM34828v2.fasta	1	1	1
GCF_000348305.2_ASM34830v2.fasta	1	1	1
GCF_000348345.2_ASM34834v2.fasta	1	1	1
GCF_000348365.1_ASM34836v1.fasta	1	1	1
GCF_000348385.2_ASM34838v2.fasta	1	1	1
GCF_000348405.2_ASM34840v2.fasta	1	1	1
GCF_000348425.2_ASM34842v2.fasta	1	1	1
GCF_000348445.2_ASM34844v2.fasta	1	1	1
GCF_000348465.2_ASM34846v2.fasta	1	1	1
GCF_000348485.2_ASM34848v2.fasta	1	1	1
GCF_000348505.2_ASM34850v2.fasta	1	1	1
GCF_000387585.1_BJG-01.fasta	1	1	1
GCF_000387605.1_BJG-01.fasta	1	1	1
GCF_000387625.1_BJG-01.fasta	1	1	1
GCF_000387645.1_BJG-01.fasta	1	1	1
GCF_000387665.1_BJG-01.fasta	1	1	1
GCF_000387685.1_BJG-01.fasta	1	1	1
GCF_000387705.1_BJG-01.fasta	1	1	1
GCF_000387725.1_BJG-01.fasta	1	1	1
GCF_000474965.1_vcoHC36A1.fasta	1	1	1
GCF_000487955.1_E306v1.fasta	1	1	1
GCF_000500675.1_RND19187_v1.fasta	1	1	1
GCF_000500695.1_RND18899_v1.fasta	1	1	1
GCF_000500715.1_RND6878_v1.fasta	1	1	1
GCF_000500735.1_RND18826_v2.fasta	1	1	1
GCF_000569115.2_ASM56911v2.fasta	1	1	1
GCF_000600255.1_Vibrio_cholerae_O1_biovar_El_Tor_str._L-3226.fasta	1	1	1
GCF_000710445.1_vch3_v1.fasta	1	1	1
GCF_000710455.1_vch2.fasta	1	1	1
GCF_000736765.1_GFC_10.fasta	1	1	1
GCF_000736775.1_GFC_15.fasta	1	1	1
GCF_000736845.1_GFC_18.fasta	1	1	1
GCF_000736865.1_GFC_7.fasta	1	1	1
GCF_000736875.1_GFC_11.fasta	1	1	1
GCF_000736935.1_GFC_13.fasta	1	1	1
GCF_000736945.1_GFC_16.fasta	1	1	1
GCF_000737005.1_GFC_19.fasta	1	1	1
GCF_000737025.1_GFC_20.fasta	1	1	1
GCF_000754625.1_ASM75462v1.fasta	1	1	1
GCF_000765415.1_ASM76541v1.fasta	1	1	1
GCF_000788415.1_ASM78841v1.fasta	1	1	1
GCF_000788425.1_ASM78842v1.fasta	1	1	1
GCF_000788435.1_ASM78843v1.fasta	1	1	1
GCF_000788495.1_ASM78849v1.fasta	1	1	1
GCF_000788515.1_ASM78851v1.fasta	1	1	1
GCF_000788535.1_ASM78853v1.fasta	1	1	1
GCF_000788555.1_ASM78855v1.fasta	1	1	1
GCF_000788575.1_ASM78857v1.fasta	1	1	1
GCF_000788615.1_ASM78861v1.fasta	1	1	1
GCF_000788635.1_ASM78863v1.fasta	1	1	1
GCF_000788655.1_ASM78865v1.fasta	1	1	1
GCF_000788675.1_ASM78867v1.fasta	1	1	1
GCF_000788715.2_ASM78871v2.fasta	1	1	1
GCF_000788735.1_ASM78873v1.fasta	1	1	1
GCF_000788755.1_ASM78875v1.fasta	1	1	1
GCF_000788775.1_ASM78877v1.fasta	1	1	1
GCF_000788795.1_ASM78879v1.fasta	1	1	1
GCF_000788815.1_ASM78881v1.fasta	1	1	1
GCF_000788835.1_ASM78883v1.fasta	1	1	1
GCF_000788855.1_ASM78885v1.fasta	1	1	1
GCF_000788875.1_ASM78887v1.fasta	1	1	1
GCF_000788895.1_ASM78889v1.fasta	1	1	1
GCF_000788915.1_ASM78891v1.fasta	1	1	1
GCF_000788935.1_ASM78893v1.fasta	1	1	1
GCF_000788955.1_ASM78895v1.fasta	1	1	1
GCF_000788975.1_ASM78897v1.fasta	1	1	1
GCF_000788995.1_ASM78899v1.fasta	1	1	1
GCF_000789015.1_ASM78901v1.fasta	1	1	1
GCF_000789035.1_ASM78903v1.fasta	1	1	1
GCF_000789055.1_ASM78905v1.fasta	1	1	1
GCF_000789075.1_ASM78907v1.fasta	1	1	1
GCF_000789095.1_ASM78909v1.fasta	1	1	1
GCF_000789115.1_ASM78911v1.fasta	1	1	1
GCF_000789135.1_ASM78913v1.fasta	1	1	1
GCF_000789155.1_ASM78915v1.fasta	1	1	1
GCF_000961975.1_ASM96197v1.fasta	1	1	1
GCF_000967785.1_ASM96778v1.fasta	1	1	1
GCF_000969235.1_ASM96923v1.fasta	1	1	1
GCF_000969265.1_ASM96926v1.fasta	1	1	1
GCF_001027485.1_ASM102748v1.fasta	1	1	1
GCF_001029975.1_ASM102997v1.fasta	1	1	1
GCF_001030015.1_ASM103001v1.fasta	1	1	1
GCF_001030035.1_ASM103003v1.fasta	1	1	1
GCF_001184775.1_ASM118477v1.fasta	1	1	1
GCF_001186485.1_ASM118648v1.fasta	1	1	1
GCF_001186495.1_ASM118649v1.fasta	1	1	1
GCF_001186505.1_ASM118650v1.fasta	1	1	1
GCF_001186515.1_ASM118651v1.fasta	1	1	1
GCF_001186565.1_ASM118656v1.fasta	1	1	1
GCF_001186575.1_ASM118657v1.fasta	1	1	1
GCF_001186585.1_ASM118658v1.fasta	1	1	1
GCF_001186595.1_ASM118659v1.fasta	1	1	1
GCF_001186645.1_ASM118664v1.fasta	1	1	1
GCF_001186655.1_ASM118665v1.fasta	1	1	1
GCF_001186665.1_ASM118666v1.fasta	1	1	1
GCF_001186675.1_ASM118667v1.fasta	1	1	1
GCF_001186725.1_ASM118672v1.fasta	1	1	1
GCF_001186735.1_ASM118673v1.fasta	1	1	1
GCF_001186755.1_ASM118675v1.fasta	1	1	1
GCF_001186785.1_ASM118678v1.fasta	1	1	1
GCF_001186805.1_ASM118680v1.fasta	1	1	1
GCF_001186825.1_ASM118682v1.fasta	1	1	1
GCF_001186835.1_ASM118683v1.fasta	1	1	1
GCF_001186855.1_ASM118685v1.fasta	1	1	1
GCF_001186885.1_ASM118688v1.fasta	1	1	1
GCF_001186905.1_ASM118690v1.fasta	1	1	1
GCF_001186915.1_ASM118691v1.fasta	1	1	1
GCF_001186925.1_ASM118692v1.fasta	1	1	1
GCF_001186965.1_ASM118696v1.fasta	1	1	1
GCF_001186985.1_ASM118698v1.fasta	1	1	1
GCF_001186995.1_ASM118699v1.fasta	1	1	1
GCF_001187015.1_ASM118701v1.fasta	1	1	1
GCF_001187025.1_ASM118702v1.fasta	1	1	1
GCF_001187065.1_ASM118706v1.fasta	1	1	1
GCF_001187085.1_ASM118708v1.fasta	1	1	1
GCF_001187095.1_ASM118709v1.fasta	1	1	1
GCF_001187105.1_ASM118710v1.fasta	1	1	1
GCF_001187145.1_ASM118714v1.fasta	1	1	1
GCF_001187165.1_ASM118716v1.fasta	1	1	1
GCF_001187175.1_ASM118717v1.fasta	1	1	1
GCF_001187185.1_ASM118718v1.fasta	1	1	1
GCF_001187225.1_ASM118722v1.fasta	1	1	1
GCF_001187245.1_ASM118724v1.fasta	1	1	1
GCF_001187255.1_ASM118725v1.fasta	1	1	1
GCF_001187265.1_ASM118726v1.fasta	1	1	1
GCF_001247525.1_5174_8_5.fasta	1	1	1
GCF_001247835.1_5174_7_1.fasta	1	1	1
GCF_001248505.1_5174_6_8.fasta	1	1	1
GCF_001250235.2_5174_7_8_v2.fasta	1	1	1
GCF_001250455.1_5174_8_3.fasta	1	1	1
GCF_001251435.1_4370_3_6.fasta	1	1	1
GCF_001252055.1_5174_5_2.fasta	1	1	1
GCF_001252075.1_5174_5_7.fasta	1	1	1
GCF_001252495.1_5174_7_7.fasta	1	1	1
GCF_001252775.1_4370_2_9.fasta	1	1	1
GCF_001252895.1_5174_6_1.fasta	1	1	1
GCF_001253035.1_5174_5_1.fasta	1	1	1
GCF_001253055.1_5174_6_5.fasta	1	1	1
GCF_001253235.1_5174_8_1.fasta	1	1	1
GCF_001253695.1_5174_8_2.fasta	1	1	1
GCF_001254055.1_5174_7_3.fasta	1	1	1
GCF_001254335.1_5174_6_4.fasta	1	1	1
GCF_001254355.1_5174_8_9.fasta	1	1	1
GCF_001254435.1_5174_7_2.fasta	1	1	1
GCF_001254635.1_5174_5_3.fasta	1	1	1
GCF_001254655.1_5174_7_6.fasta	1	1	1
GCF_001254675.1_5174_7_4.fasta	1	1	1
GCF_001255155.1_5174_7_9.fasta	1	1	1
GCF_001255575.1_5174_7_5.fasta	1	1	1
GCF_001255835.1_5174_6_9.fasta	1	1	1
GCF_001255915.1_4370_3_8.fasta	1	1	1
GCF_001256015.1_2956_6_5.fasta	1	1	1
GCF_001257035.1_3002_8_1.fasta	1	1	1
GCF_001257075.1_5174_8_6.fasta	1	1	1
GCF_001257835.1_4370_2_8.fasta	1	1	1
GCF_001257895.1_5174_5_4.fasta	1	1	1
GCF_001258495.1_2956_6_2.fasta	1	1	1
GCF_001258555.1_5174_6_3.fasta	1	1	1
GCF_001258995.1_5174_6_6.fasta	1	1	1
GCF_001259055.1_5174_5_9.fasta	1	1	1
GCF_001259135.1_2956_6_1.fasta	1	1	1
GCF_001259235.1_5174_6_2.fasta	1	1	1
GCF_001259475.1_4370_2_2.fasta	1	1	1
GCF_001259715.1_5174_5_5.fasta	1	1	1
GCF_001259995.1_5174_8_4.fasta	1	1	1
GCF_001260175.1_5174_6_7.fasta	1	1	1
GCF_001260295.1_5174_6_10.fasta	1	1	1
GCF_001260335.1_5174_5_6.fasta	1	1	1
GCF_001260995.1_5174_7_10.fasta	1	1	1
GCF_001261535.1_5174_8_8.fasta	1	1	1
GCF_001261555.1_4370_2_3.fasta	1	1	1
GCF_001281585.1_ASM128158v1.fasta	1	1	1
GCF_001281595.1_ASM128159v1.fasta	1	1	1
GCF_001281615.1_ASM128161v1.fasta	1	1	1
GCF_001281665.1_ASM128166v1.fasta	1	1	1
GCF_001282605.1_ASM128260v1.fasta	1	1	1
GCF_001318185.1_ASM131818v1.fasta	1	1	1
GCF_001402185.1_ASM140218v1.fasta	1	1	1
GCF_001402255.1_ASM140225v1.fasta	1	1	1
GCF_001402265.1_ASM140226v1.fasta	1	1	1
GCF_001402275.1_ASM140227v1.fasta	1	1	1
GCF_001402285.1_ASM140228v1.fasta	1	1	1
GCF_001402335.1_ASM140233v1.fasta	1	1	1
GCF_001402365.1_ASM140236v1.fasta	1	1	1
GCF_001402375.1_ASM140237v1.fasta	1	1	1
GCF_001402415.1_ASM140241v1.fasta	1	1	1
GCF_001402425.1_ASM140242v1.fasta	1	1	1
GCF_001402435.1_ASM140243v1.fasta	1	1	1
GCF_001402445.1_ASM140244v1.fasta	1	1	1
GCF_001402535.1_ASM140253v1.fasta	1	1	1
GCF_001402545.1_ASM140254v1.fasta	1	1	1
GCF_001402575.1_ASM140257v1.fasta	1	1	1
GCF_001402585.1_ASM140258v1.fasta	1	1	1
GCF_001402595.1_ASM140259v1.fasta	1	1	1
GCF_001402605.1_ASM140260v1.fasta	1	1	1
GCF_001402655.1_ASM140265v1.fasta	1	1	1
GCF_001411585.1_ASM141158v1.fasta	1	1	1
GCF_001471455.2_ASM147145v2.fasta	1	1	1
GCF_001515095.1_ASM151509v1.fasta	1	1	1
GCF_001517845.1_ASM151784v1.fasta	1	1	1
GCF_001517855.1_ASM151785v1.fasta	1	1	1
GCF_001521835.1_ASM152183v1.fasta	1	1	1
GCF_001525525.2_ASM152552v2.fasta	1	1	1
GCF_001617675.1_ASM161767v1.fasta	1	1	1
GCF_001637575.1_ASM163757v1.fasta	1	1	1
GCF_001639085.1_ASM163908v1.fasta	1	1	1
GCF_001641685.1_ASM164168v1.fasta	1	1	1
GCF_001641705.1_ASM164170v1.fasta	1	1	1
GCF_001718095.1_ASM171809v1.fasta	1	1	1
GCF_001718105.1_ASM171810v1.fasta	1	1	1
GCF_001729125.1_ASM172912v1.fasta	1	1	1
GCF_001729195.1_ASM172919v1.fasta	1	1	1
GCF_001743085.1_ASM174308v1.fasta	1	1	1
GCF_001854425.1_ASM185442v1.fasta	1	1	1
GCF_001857145.1_ASM185714v1.fasta	1	1	1
GCF_001857155.1_ASM185715v1.fasta	1	1	1
GCF_001857165.1_ASM185716v1.fasta	1	1	1
GCF_001857175.1_ASM185717v1.fasta	1	1	1
GCF_001857225.1_ASM185722v1.fasta	1	1	1
GCF_001857245.1_ASM185724v1.fasta	1	1	1
GCF_001857265.1_ASM185726v1.fasta	1	1	1
GCF_001857285.1_ASM185728v1.fasta	1	1	1
GCF_001857305.1_ASM185730v1.fasta	1	1	1
GCF_001857325.1_ASM185732v1.fasta	1	1	1
GCF_001857345.1_ASM185734v1.fasta	1	1	1
GCF_001857355.1_ASM185735v1.fasta	1	1	1
GCF_001857365.1_ASM185736v1.fasta	1	1	1
GCF_001857405.1_ASM185740v1.fasta	1	1	1
GCF_001857425.1_ASM185742v1.fasta	1	1	1
GCF_001857485.1_ASM185748v1.fasta	1	1	1
GCF_001857505.1_ASM185750v1.fasta	1	1	1
GCF_001857515.1_ASM185751v1.fasta	1	1	1
GCF_001858465.1_ASM185846v1.fasta	1	1	1
GCF_001858475.1_ASM185847v1.fasta	1	1	1
GCF_001860365.1_ASM186036v1.fasta	1	1	1
GCF_001860465.1_ASM186046v1.fasta	1	1	1
GCF_001953375.1_ASM195337v1.fasta	1	1	1
GCF_002076155.1_ASM207615v1.fasta	1	1	1
GCF_002076165.1_ASM207616v1.fasta	1	1	1
GCF_002076175.1_ASM207617v1.fasta	1	1	1
GCF_002076185.1_ASM207618v1.fasta	1	1	1
GCF_002076235.1_ASM207623v1.fasta	1	1	1
GCF_002076245.1_ASM207624v1.fasta	1	1	1
GCF_002076255.1_ASM207625v1.fasta	1	1	1
GCF_002076265.1_ASM207626v1.fasta	1	1	1
GCF_002076315.1_ASM207631v1.fasta	1	1	1
GCF_002076415.1_ASM207641v1.fasta	1	1	1
GCF_002076425.1_ASM207642v1.fasta	1	1	1
GCF_002076455.1_ASM207645v1.fasta	1	1	1
GCF_002076465.1_ASM207646v1.fasta	1	1	1
GCF_002076475.1_ASM207647v1.fasta	1	1	1
GCF_002076485.1_ASM207648v1.fasta	1	1	1
GCF_002076535.1_ASM207653v1.fasta	1	1	1
GCF_002076545.1_ASM207654v1.fasta	1	1	1
GCF_002076575.1_ASM207657v1.fasta	1	1	1
GCF_002076585.1_ASM207658v1.fasta	1	1	1
GCF_002076615.1_ASM207661v1.fasta	1	1	1
GCF_002076635.1_ASM207663v1.fasta	1	1	1
GCF_002076645.1_ASM207664v1.fasta	1	1	1
GCF_002076665.1_ASM207666v1.fasta	1	1	1
GCF_002076695.1_ASM207669v1.fasta	1	1	1
GCF_002076705.1_ASM207670v1.fasta	1	1	1
GCF_002076735.1_ASM207673v1.fasta	1	1	1
GCF_002076745.1_ASM207674v1.fasta	1	1	1
GCF_002076775.1_ASM207677v1.fasta	1	1	1
GCF_002076785.1_ASM207678v1.fasta	1	1	1
GCF_002078055.1_ASM207805v1.fasta	1	1	1
GCF_002078595.1_ASM207859v1.fasta	1	1	1
GCF_002078635.1_ASM207863v1.fasta	1	1	1
GCF_002078695.1_ASM207869v1.fasta	1	1	1
GCF_002078705.1_ASM207870v1.fasta	1	1	1
GCF_002078715.1_ASM207871v1.fasta	1	1	1
GCF_002078755.1_ASM207875v1.fasta	1	1	1
GCF_002078795.1_ASM207879v1.fasta	1	1	1
GCF_002078815.1_ASM207881v1.fasta	1	1	1
GCF_002078825.1_ASM207882v1.fasta	1	1	1
GCF_002097735.1_ASM209773v1.fasta	1	1	1
GCF_002097745.1_ASM209774v1.fasta	1	1	1
GCF_002097765.1_ASM209776v1.fasta	1	1	1
GCF_002097825.1_ASM209782v1.fasta	1	1	1
GCF_002097835.1_ASM209783v1.fasta	1	1	1
GCF_002097845.1_ASM209784v1.fasta	1	1	1
GCF_002097895.1_ASM209789v1.fasta	1	1	1
GCF_002097905.1_ASM209790v1.fasta	1	1	1
GCF_002097915.1_ASM209791v1.fasta	1	1	1
GCF_002097925.1_ASM209792v1.fasta	1	1	1
GCF_002097975.1_ASM209797v1.fasta	1	1	1
GCF_002097985.1_ASM209798v1.fasta	1	1	1
GCF_002097995.1_ASM209799v1.fasta	1	1	1
GCF_002098005.1_ASM209800v1.fasta	1	1	1
GCF_002098055.1_ASM209805v1.fasta	1	1	1
GCF_002098065.1_ASM209806v1.fasta	1	1	1
GCF_002098075.1_ASM209807v1.fasta	1	1	1
GCF_002098085.1_ASM209808v1.fasta	1	1	1
GCF_002098135.1_ASM209813v1.fasta	1	1	1
GCF_002098145.1_ASM209814v1.fasta	1	1	1
GCF_002098155.1_ASM209815v1.fasta	1	1	1
GCF_002098195.1_ASM209819v1.fasta	1	1	1
GCF_002098215.1_ASM209821v1.fasta	1	1	1
GCF_002098225.1_ASM209822v1.fasta	1	1	1
GCF_002098235.1_ASM209823v1.fasta	1	1	1
GCF_002098255.1_ASM209825v1.fasta	1	1	1
GCF_002098295.1_ASM209829v1.fasta	1	1	1
GCF_002098305.1_ASM209830v1.fasta	1	1	1
GCF_002098335.1_ASM209833v1.fasta	1	1	1
GCF_002098345.1_ASM209834v1.fasta	1	1	1
GCF_002098355.1_ASM209835v1.fasta	1	1	1
GCF_002098365.1_ASM209836v1.fasta	1	1	1
GCF_002098415.1_ASM209841v1.fasta	1	1	1
GCF_002098425.1_ASM209842v1.fasta	1	1	1
GCF_002098435.1_ASM209843v1.fasta	1	1	1
GCF_002098445.1_ASM209844v1.fasta	1	1	1
GCF_002098495.1_ASM209849v1.fasta	1	1	1
GCF_002098515.1_ASM209851v1.fasta	1	1	1
GCF_002098525.1_ASM209852v1.fasta	1	1	1
GCF_002098535.1_ASM209853v1.fasta	1	1	1
GCF_002098555.1_ASM209855v1.fasta	1	1	1
GCF_002098595.1_ASM209859v1.fasta	1	1	1
GCF_002098605.1_ASM209860v1.fasta	1	1	1
GCF_002098625.1_ASM209862v1.fasta	1	1	1
GCF_002098655.1_ASM209865v1.fasta	1	1	1
GCF_002098675.1_ASM209867v1.fasta	1	1	1
GCF_002098695.1_ASM209869v1.fasta	1	1	1
GCF_002098705.1_ASM209870v1.fasta	1	1	1
GCF_002098715.1_ASM209871v1.fasta	1	1	1
GCF_002098755.1_ASM209875v1.fasta	1	1	1
GCF_002098765.1_ASM209876v1.fasta	1	1	1
GCF_002098795.1_ASM209879v1.fasta	1	1	1
GCF_002098805.1_ASM209880v1.fasta	1	1	1
GCF_002098835.1_ASM209883v1.fasta	1	1	1
GCF_002098845.1_ASM209884v1.fasta	1	1	1
GCF_002098875.1_ASM209887v1.fasta	1	1	1
GCF_002098885.1_ASM209888v1.fasta	1	1	1
GCF_002098915.1_ASM209891v1.fasta	1	1	1
GCF_002098935.1_ASM209893v1.fasta	1	1	1
GCF_002098955.1_ASM209895v1.fasta	1	1	1
GCF_002098965.1_ASM209896v1.fasta	1	1	1
GCF_002098995.1_ASM209899v1.fasta	1	1	1
GCF_002099015.1_ASM209901v1.fasta	1	1	1
GCF_002099035.1_ASM209903v1.fasta	1	1	1
GCF_002099055.1_ASM209905v1.fasta	1	1	1
GCF_002099065.1_ASM209906v1.fasta	1	1	1
GCF_002099095.1_ASM209909v1.fasta	1	1	1
GCF_002099115.1_ASM209911v1.fasta	1	1	1
GCF_002099125.1_ASM209912v1.fasta	1	1	1
GCF_002102575.1_ASM210257v1.fasta	1	1	1
GCF_002114205.1_ASM211420v1.fasta	1	1	1
GCF_002194155.1_ASM219415v1.fasta	1	1	1
GCF_002194165.1_ASM219416v1.fasta	1	1	1
GCF_002194185.1_ASM219418v1.fasta	1	1	1
GCF_002194215.1_ASM219421v1.fasta	1	1	1
GCF_002194235.1_ASM219423v1.fasta	1	1	1
GCF_002194245.1_ASM219424v1.fasta	1	1	1
GCF_002194265.1_ASM219426v1.fasta	1	1	1
GCF_002194295.1_ASM219429v1.fasta	1	1	1
GCF_002194305.1_ASM219430v1.fasta	1	1	1
GCF_002194335.1_ASM219433v1.fasta	1	1	1
GCF_002196055.1_ASM219605v1.fasta	1	1	1
GCF_002196065.1_ASM219606v1.fasta	1	1	1
GCF_002196095.1_ASM219609v1.fasta	1	1	1
GCF_002196105.1_ASM219610v1.fasta	1	1	1
GCF_002196135.1_ASM219613v1.fasta	1	1	1
GCF_002196155.1_ASM219615v1.fasta	1	1	1
GCF_002196165.1_ASM219616v1.fasta	1	1	1
GCF_002196175.1_ASM219617v1.fasta	1	1	1
GCF_002196225.1_ASM219622v1.fasta	1	1	1
GCF_002196255.1_ASM219625v1.fasta	1	1	1
GCF_002196305.1_ASM219630v1.fasta	1	1	1
GCF_002196375.1_ASM219637v1.fasta	1	1	1
GCF_002204085.1_ASM220408v1.fasta	1	1	1
GCF_002204095.1_ASM220409v1.fasta	1	1	1
GCF_002284095.1_ASM228409v1.fasta	1	1	1
GCF_002284115.1_ASM228411v1.fasta	1	1	1
GCF_002284155.1_ASM228415v1.fasta	1	1	1
GCF_002284175.1_ASM228417v1.fasta	1	1	1
GCF_002284185.1_ASM228418v1.fasta	1	1	1
GCF_002284205.1_ASM228420v1.fasta	1	1	1
GCF_002284235.1_ASM228423v1.fasta	1	1	1
GCF_002284245.1_ASM228424v1.fasta	1	1	1
GCF_002284265.1_ASM228426v1.fasta	1	1	1
GCF_002284315.1_ASM228431v1.fasta	1	1	1
GCF_002284325.1_ASM228432v1.fasta	1	1	1
GCF_002284355.1_ASM228435v1.fasta	1	1	1
GCF_002284415.1_ASM228441v1.fasta	1	1	1
GCF_002284425.1_ASM228442v1.fasta	1	1	1
GCF_002284475.1_ASM228447v1.fasta	1	1	1
GCF_002284495.1_ASM228449v1.fasta	1	1	1
GCF_002313025.1_ASM231302v1.fasta	1	1	1
GCF_002407455.1_ASM240745v1.fasta	1	1	1
GCF_002749635.1_ASM274963v1.fasta	1	1	1
GCF_002807705.1_ASM280770v1.fasta	1	1	1
GCF_002807725.1_ASM280772v1.fasta	1	1	1
GCF_002807735.1_ASM280773v1.fasta	1	1	1
GCF_002807765.1_ASM280776v1.fasta	1	1	1
GCF_002807785.1_ASM280778v1.fasta	1	1	1
GCF_002807805.1_ASM280780v1.fasta	1	1	1
GCF_002807825.1_ASM280782v1.fasta	1	1	1
GCF_002807835.1_ASM280783v1.fasta	1	1	1
GCF_002807865.1_ASM280786v1.fasta	1	1	1
GCF_002807875.1_ASM280787v1.fasta	1	1	1
GCF_002807895.1_ASM280789v1.fasta	1	1	1
GCF_002807925.1_ASM280792v1.fasta	1	1	1
GCF_002807945.1_ASM280794v1.fasta	1	1	1
GCF_002807965.1_ASM280796v1.fasta	1	1	1
GCF_002807975.1_ASM280797v1.fasta	1	1	1
